730		PODCRI	Podiceps cristatus	Silkkiuikku	Skäggdopping	Great Crested Grebe
740		PODGRI	Podiceps grisegena	Härkälintu	Gråhakedopping	Red-necked Grebe
750		PODAUR	Podiceps auritus	Mustakurkku-uikku	Svarthakedopping	Horned Grebe
760	x	PODNIG	Podiceps nigricollis	Mustakaulauikku	Svarthalsad dopping	Black-necked Grebe
770	x	Lahko	Procellariiformes	Ulappalinnut		
790	x	FULGLA	Fulmarus glacialis	Myrskylintu	Stormfågel	Northern Fulmar
800	x	PUFGRI	Puffinus griseus	Nokiliitäjä	Grålira	Sooty Shearwater
810	x	PUFPUF	Puffinus puffinus	Pikkuliitäjä	Mindre lira	Manx Shearwater
830	x	HYDPEL	Hydrobates pelagicus	Merikeiju	Stormsvala	European Storm Petrel
840	x	OCELEU	Oceanodroma leucorhoa	Myrskykeiju	Klykstjärtad stormsvala	Leach's Storm Petrel
850	x	OCECAS	Oceanodroma castro	Madeirankeiju	Oceanlöpare	Band-rumped Storm Petrel
860		Lahko	Pelecaniformes	Pelikaanilinnut		
880	x	MORBAS	Morus bassanus	Suula	Havssula	Northern Gannet
900		PHACAR	Phalacrocorax carbo	Merimetso	Storskarv	Great Cormorant
910	x	PHAARI	Phalacrocorax aristotelis	Karimetso	Toppskarv	European Shag
930	x	PELONO	Pelecanus onocrotalus	Pelikaani	Vit pelikan	Great White Pelican
940		Lahko	Ciconiiformes	Haikaralinnut		
960		BOTSTE	Botaurus stellaris	Kaulushaikara	Rördrom	Eurasian Bittern
970	x	IXOMIN	Ixobrychus minutus	Pikkuhaikara	Dvärgrördrom	Little Bittern
980	x	NYCNYC	Nycticorax nycticorax	Yöhaikara	Natthäger	Black-crowned Night Heron
990	x	ARDRAL	Ardeola ralloides	Rääkkähaikara	Rallhäger	Squacco Heron
1000	x	BUBIBI	Bubulcus ibis	Lehmähaikara	Kohäger	Cattle Egret
1010	x	EGRGAR	Egretta garzetta	Silkkihaikara	Silkeshäger	Little Egret
1020	x	EGRALB	Egretta alba	Jalohaikara	Ägretthäger	Great Egret
1030		ARDCIN	Ardea cinerea	Harmaahaikara	Grå häger	Grey Heron
1040	x	ARDPUR	Ardea purpurea	Ruskohaikara	Purpurhäger	Purple Heron
1060	x	CICNIG	Ciconia nigra	Mustahaikara	Svart stork	Black Stork
1070	x	CICCIC	Ciconia ciconia	Kattohaikara	Vit stork	White Stork
1090	x	PLEFAL	Plegadis falcinellus	Pronssi-iibis	Bronsibis	Glossy Ibis
1100	x	PLALEU	Platalea leucorodia	Kapustahaikara	Skedstork	Eurasian Spoonbill
1110		Lahko 	Accipitriformes	Päiväpetolinnut		
1130		PERAPI	Pernis apivorus	Mehiläishaukka	Bivråk	European Honey Buzzard
1140	x	MILMIG	Milvus migrans	Haarahaukka	Brun glada	Black Kite
1150	x	MILMIL	Milvus milvus	Isohaarahaukka	Röd glada	Red Kite
1160	x	HALLEU	Haliaeetus leucoryphus	Aromerikotka	Bandhavsörn	Pallas's Fish Eagle
1170		HALALB	Haliaeetus albicilla	Merikotka	Havsörn	White-tailed Eagle
1180	x	NEOPER	Neophron percnopterus	Pikkukorppikotka	Smutsgam	Egyptian Vulture
1190	x	GYPFUL	Gyps fulvus	Hanhikorppikotka	Gåsgam	Griffon Vulture
1200	x	AEGMON	Aegypius monachus	Munkkikorppikotka	Grågam	Cinereous Vulture
1210	x	CIRGAL	Circaetus gallicus	Käärmekotka	Ormörn	Short-toed Snake Eagle
1220		CIRAER	Circus aeruginosus	Ruskosuohaukka	Brun kärrhök	Western Marsh Harrier
1230		CIRCYA	Circus cyaneus	Sinisuohaukka	Blå kärrhök	Northern Harrier
1240	x	CIRMAC	Circus macrourus	Arosuohaukka	Stäpphök	Pallid Harrier
1250	x	CIRPYG	Circus pygargus	Niittysuohaukka	Ängshök	Montagu's Harrier
1260		ACCGEN	Accipiter gentilis	Kanahaukka	Duvhök	Northern Goshawk
1270		ACCNIS	Accipiter nisus	Varpushaukka	Sparvhök	Eurasian Sparrowhawk
1280		BUTBUT	Buteo buteo	Hiirihaukka	Ormvråk	Common Buzzard
1290	x	BUTRUF	Buteo rufinus	Arohiirihaukka	Örnvråk	Long-legged Buzzard
1300		BUTLAG	Buteo lagopus	Piekana	Fjällvråk	Rough-legged Buzzard
1310	x	AQUCLA	Aquila clanga	Kiljukotka	Större skrikörn	Greater Spotted Eagle
1320	x	AQUPOM	Aquila pomarina	Pikkukiljukotka	Mindre skrikörn	Lesser Spotted Eagle
1330	x	AQUPEN	Aquila pennata	Pikkukotka	Dvärgörn	Booted Eagle
1340		AQUCHR	Aquila chrysaetos	Maakotka	Kungsörn	Golden Eagle
1350	x	AQUNIP	Aquila nipalensis	Arokotka	Stäppörn	Steppe Eagle
1360	x	AQUHEL	Aquila heliaca	Keisarikotka	Kejsarörn	Eastern Imperial Eagle
1380		PANHAL	Pandion haliaetus	Sääksi	Fiskgjuse	Osprey
1390		Lahko	Falconiformes	Jalohaukkalinnut		
1410	x	FALNAU	Falco naumanni	Pikkutuulihaukka	Rödfalk	Lesser Kestrel
1420		FALTIN	Falco tinnunculus	Tuulihaukka	Tornfalk	Common Kestrel
1430	x	FALVES	Falco vespertinus	Punajalkahaukka	Aftonfalk	Red-footed Falcon
1440		FALCOL	Falco columbarius	Ampuhaukka	Stenfalk	Merlin
1450		FALSUB	Falco subbuteo	Nuolihaukka	Lärkfalk	Eurasian Hobby
1460	x	FALELE	Falco eleonorae	Välimerenhaukka	Eleonorafalk	Eleonora's Falcon
1470	x	FALCHE	Falco cherrug	Aavikkohaukka	Tatarfalk	Saker Falcon
1480	x	FALRUS	Falco rusticolus	Tunturihaukka	Jaktfalk	Gyrfalcon
1490		FALPER	Falco peregrinus	Muuttohaukka	Pilgrimsfalk	Peregrine Falcon
1500		Lahko	Gruiformes	Kurkilinnut		
1520		RALAQU	Rallus aquaticus	Luhtakana	Vattenrall	Water Rail
1530		PORPOR	Porzana porzana	Luhtahuitti	Småfläckig sumphöna	Spotted Crake
1540	x	PORPAR	Porzana parva	Pikkuhuitti	Mindre sumphöna	Little Crake
1550	x	PORPUS	Porzana pusilla	Kääpiöhuitti	Dvärgsumphöna	Baillon's Crake
1560		CRECRE	Crex crex	Ruisrääkkä	Kornknarr	Corn Crake
1570		GALCHL	Gallinula chloropus	Liejukana	Rörhöna	Common Moorhen
